# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 11907981544
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c19
     0.01%  my_executable  [kernel.vmlinux]            [k] __get_user_8
     0.01%  my_executable  [kernel.vmlinux]            [k] d_same_name
     0.01%  my_executable  [kernel.vmlinux]            [k] ttwu_queue_wakelist
     0.01%  my_executable  [kernel.vmlinux]            [k] rcu_segcblist_enqueue
     0.01%  my_executable  [kernel.vmlinux]            [k] dput
     0.01%  my_executable  libopen-pal.so.80.0.2       [.] opal_hash_table_get_value_ptr
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000159fdd
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000099442
     0.01%  my_executable  libhwloc.so.15.7.0          [.] hwloc_linux_set_tid_cpubind
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000099272
     0.01%  my_executable  [kernel.vmlinux]            [k] _raw_spin_unlock
     0.01%  my_executable  libstencil.so               [.] mesh_drop
     0.01%  my_executable  [kernel.vmlinux]            [k] find_vma_prev
     0.01%  my_executable  [kernel.vmlinux]            [k] free_swap_cache
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000097fd5
     0.01%  my_executable  [kernel.vmlinux]            [k] generic_permission
     0.01%  my_executable  [kernel.vmlinux]            [k] strlen
     0.01%  my_executable  libmpi.so.40.40.2           [.] 0x000000000013681b
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d95
     0.01%  my_executable  [kernel.vmlinux]            [k] mm_update_next_owner
     0.01%  my_executable  [kernel.vmlinux]            [k] asm_sysvec_apic_timer_interrupt
     0.01%  my_executable  [kernel.vmlinux]            [k] free_unref_page_list
     0.01%  my_executable  [kernel.vmlinux]            [k] vm_normal_page
     0.01%  my_executable  [kernel.vmlinux]            [k] handle_mm_fault
     0.01%  my_executable  [kernel.vmlinux]            [k] exit_mmap
     0.01%  my_executable  [kernel.vmlinux]            [k] psi_task_switch
     0.01%  my_executable  [kernel.vmlinux]            [k] down_read_trylock
     0.01%  my_executable  [kernel.vmlinux]            [k] uncharge_folio
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_zone_page_state
     0.01%  my_executable  [kernel.vmlinux]            [k] futex_wake
     0.01%  my_executable  [kernel.vmlinux]            [k] folio_remove_rmap_ptes
     0.01%  my_executable  [kernel.vmlinux]            [k] tick_nohz_highres_handler
     0.01%  my_executable  [kernel.vmlinux]            [k] ktime_get
