# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles:P'
# Event count (approx.): 22261993218
#
# Overhead  Command        Shared Object               Symbol                                                   
# ........  .............  ..........................  .........................................................
#
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ca2
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cd0
     0.01%  my_executable  [kernel.vmlinux]            [k] unmap_page_range
     0.01%  my_executable  [kernel.vmlinux]            [k] __flush_smp_call_function_queue
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c76
     0.01%  my_executable  [kernel.vmlinux]            [k] get_vma_policy
     0.01%  my_executable  [kernel.vmlinux]            [k] count_memcg_events.constprop.0
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073908
     0.01%  my_executable  [kernel.vmlinux]            [k] folio_remove_rmap_ptes
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d98
     0.01%  my_executable  [kernel.vmlinux]            [k] llist_reverse_order
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c60
     0.01%  my_executable  libc.so.6                   [.] cfree
     0.01%  my_executable  [kernel.vmlinux]            [k] do_user_addr_fault
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cd8
     0.01%  my_executable  [kernel.vmlinux]            [k] __virt_addr_valid
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073caa
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730ee
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c35
     0.01%  my_executable  [kernel.vmlinux]            [k] lru_gen_del_folio
     0.01%  my_executable  [kernel.vmlinux]            [k] update_sd_lb_stats.constprop.0
     0.01%  my_executable  [kernel.vmlinux]            [k] next_uptodate_folio
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073607
     0.01%  my_executable  [kernel.vmlinux]            [k] page_vma_mapped_walk
     0.01%  my_executable  [kernel.vmlinux]            [k] kfree
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730a5
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730c6
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c6a
     0.01%  my_executable  libstencil.so               [.] sin@plt
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c66
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000e5ec
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_memcg_lruvec_state
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073da7
     0.01%  my_executable  [kernel.vmlinux]            [k] _raw_spin_lock
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d58
     0.01%  my_executable  [kernel.vmlinux]            [k] kmem_cache_free
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073584
     0.01%  my_executable  [kernel.vmlinux]            [k] down_read
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c83
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c4c
     0.01%  my_executable  [kernel.vmlinux]            [k] do_syscall_64
     0.01%  my_executable  libopen-pal.so.80.0.2       [.] opal_mem_hooks_release_hook
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bd2
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007329f
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073903
     0.01%  my_executable  [kernel.vmlinux]            [k] lru_gen_add_folio
     0.01%  my_executable  [kernel.vmlinux]            [k] __pte_offset_map_lock
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000732f9
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073df7
     0.01%  my_executable  [kernel.vmlinux]            [k] _find_next_bit
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007327c
     0.01%  my_executable  [kernel.vmlinux]            [k] vsnprintf
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007334d
     0.01%  my_executable  libstencil.so               [.] mesh_drop
     0.01%  my_executable  [kernel.vmlinux]            [k] irq_work_tick
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735b3
     0.01%  my_executable  [kernel.vmlinux]            [k] llist_add_batch
     0.01%  my_executable  [kernel.vmlinux]            [k] folio_put
     0.01%  my_executable  [kernel.vmlinux]            [k] lru_gen_del_folio.constprop.0
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_zone_page_state
     0.01%  my_executable  [kernel.vmlinux]            [k] handle_mm_fault
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d8f
     0.01%  my_executable  [kernel.vmlinux]            [k] lock_vma_under_rcu
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000733d7
     0.01%  my_executable  [kernel.vmlinux]            [k] _raw_spin_lock_irqsave
     0.01%  my_executable  libc.so.6                   [.] 0x000000000008782d
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000732b1
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007336c
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007329b
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000159fe1
