# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles:P'
# Event count (approx.): 18233692210
#
# Overhead  Command        Shared Object              Symbol                               
# ........  .............  .........................  .....................................
#
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000984f
     0.00%  my_executable  [kernel.vmlinux]           [k] string
     0.00%  my_executable  [kernel.vmlinux]           [k] seq_printf
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073330
     0.00%  my_executable  [kernel.vmlinux]           [k] native_sched_clock
     0.00%  my_executable  [kernel.vmlinux]           [k] show_cpuinfo
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000df5c
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000097e60
     0.00%  my_executable  [kernel.vmlinux]           [k] mmap_region
     0.00%  my_executable  [kernel.vmlinux]           [k] proc_lookupfd_common
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] mca_base_var_group_get_internal
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000009381
     0.00%  my_executable  [kernel.vmlinux]           [k] do_syscall_64
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000099456
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015ac9b
     0.00%  my_executable  [kernel.vmlinux]           [k] kfree
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x000000000001b896
     0.00%  my_executable  libpmix.so.2.9.5           [.] pmix_hash_table_remove_all
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x0000000000014810
     0.00%  my_executable  [kernel.vmlinux]           [k] avg_vruntime
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x00000000000159e8
     0.00%  my_executable  libhwloc.so.15.7.0         [.] hwloc_pci_find_by_busid
     0.00%  my_executable  [kernel.vmlinux]           [k] d_same_name
     0.00%  my_executable  libc.so.6                  [.] _IO_file_underflow
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x00000000000159f7
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x00000000000159fa
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x000000000000275d
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005f3e0
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005f3e4
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025ed
     0.00%  my_executable  libc.so.6                  [.] 0x000000000004d13f
     0.00%  my_executable  libc.so.6                  [.] 0x000000000004d142
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x0000000000014b6b
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002660
     0.00%  my_executable  [kernel.vmlinux]           [k] filemap_get_read_batch
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_exit_to_user_mode
     0.00%  my_executable  libc.so.6                  [.] faccessat
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_enter
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_exit
     0.00%  my_executable  [kernel.vmlinux]           [k] task_work_add
     0.00%  my_executable  [kernel.vmlinux]           [k] get_cached_acl
     0.00%  my_executable  [kernel.vmlinux]           [k] ktime_get_update_offsets_now
     0.00%  my_executable  [kernel.vmlinux]           [k] idle_cpu
